Mouse,Endocrine,Enterocyte,Enterocyte.Progenitor,Goblet,Stem,TA,TA.Early,Tuft
Control_1,36,59,136,36,239,125,191,18
Control_2,5,46,23,20,50,11,40,5
Control_3,45,98,188,124,250,155,365,33
Control_4,26,221,198,36,131,130,196,4
H.poly.Day10_1,42,71,203,147,271,109,180,146
H.poly.Day10_2,40,57,383,170,321,244,256,71
H.poly.Day3_1,52,75,347,66,323,263,313,51
H.poly.Day3_2,65,126,115,33,65,39,129,59
Salm_1,37,332,113,59,90,47,132,10
Salm_2,32,373,116,67,117,65,168,12
